A,Long,Lat
101,-73.898583,40.889248
103,-73.900878,40.884653
104,-73.904834,40.878856
106,-73.909831,40.874561
107,-73.915279,40.869444
108,-73.918822,40.864621
109,-73.925536,40.860531
110,-73.929412,40.855225
111,-73.933596,40.849505
112-A09,-73.940133,40.840556
113,-73.94489,40.834041
114,-73.95036,40.826551
115,-73.953676,40.822008
116,-73.958372,40.815581
117,-73.96411,40.807722
118,-73.966847,40.803967
119,-73.968379,40.799446
120,-73.972323,40.793919
121,-73.976218,40.788644
122,-73.979917,40.783934
123,-73.98197,40.778453
124,-73.982209,40.77344
125-A24,-73.981929,40.768247
126,-73.983849,40.761728
127-725-902-R16-A27,-73.987495,40.75529
128,-73.991057,40.750373
129,-73.993365,40.747215
130,-73.995657,40.744081
131,-73.997871,40.74104
132,-74.000201,40.737826
133,-74.002906,40.733422
134,-74.005367,40.728251
135,-74.006277,40.722854
136,-74.006886,40.719318
137,-74.009266,40.715478
139,-74.013783,40.707513
142,-74.013506,40.701542
201,-73.85062,40.903125
204,-73.854376,40.898379
205,-73.857469,40.893201
206,-73.860341,40.888022
207,-73.862633,40.883895
208,-73.866256,40.87785
209,-73.867164,40.871356
210,-73.867352,40.865462
211,-73.867615,40.857192
212,-73.868457,40.848828
213,-73.873488,40.841894
214,-73.880049,40.840295
215,-73.887734,40.837288
216,-73.891865,40.829993
217,-73.893064,40.824073
218,-73.896736,40.822181
219,-73.90177,40.819585
220,-73.907807,40.81649
221,-73.917757,40.816109
222-415,-73.926718,40.81841
224,-73.94077,40.814229
225,-73.945502,40.807745
226,-73.949625,40.802098
227,-73.951822,40.799075
228,-74.008811,40.713051
229-418-M22-A38,-74.006571,40.709416
230,-74.0091,40.706821
231,-73.993086,40.697466
232-420-R28,-73.989998,40.693219
233,-73.985065,40.690545
234,-73.980492,40.688246
235-D24-R31,-73.977666,40.684359
236,-73.975098,40.680829
237,-73.971046,40.675235
238,-73.964375,40.671987
239,-73.958131,40.670682
241,-73.950683,40.667883
242,-73.95085,40.662742
243,-73.9502,40.656652
244,-73.949575,40.650843
245,-73.948959,40.645098
246,-73.948411,40.639967
247,-73.947642,40.632836
248,-73.950466,40.669847
249,-73.942161,40.669399
250,-73.932942,40.668897
251,-73.92261,40.664717
252,-73.916327,40.661453
253,-73.908946,40.662549
254,-73.902447,40.663515
255,-73.894895,40.664635
256,-73.889395,40.665449
257,-73.884079,40.666235
301,-73.93647,40.82388
302,-73.936245,40.820421
401,-73.878751,40.886037
402,-73.884655,40.87975
405,-73.890064,40.873412
406,-73.897174,40.86776
407,-73.901034,40.862803
408,-73.903879,40.858407
409,-73.907684,40.853453
410,-73.911794,40.84848
411,-73.914685,40.844434
412,-73.917791,40.840075
413,-73.9214,40.835537
414-D11,-73.925831,40.827994
416,-73.929849,40.813224
419,-74.011862,40.707557
420,-74.014065,40.704817
501,-73.830834,40.8883
502,-73.838591,40.878663
503,-73.846384,40.869526
504,-73.855359,40.858985
505,-73.860495,40.854364
601,-73.828121,40.852462
602,-73.832569,40.84681
603,-73.836322,40.843863
604,-73.842952,40.839892
606,-73.847036,40.836488
607,-73.851222,40.834255
608,-73.860816,40.833226
609,-73.867618,40.831509
610,-73.874516,40.829521
611,-73.879159,40.828584
612,-73.886283,40.826525
613,-73.890549,40.820948
614,-73.896435,40.816104
615,-73.904098,40.812118
616,-73.907657,40.808719
617,-73.914042,40.805368
618,-73.91924,40.807566
619,-73.926138,40.810476
621,-73.937594,40.804138
622,-73.941617,40.798629
623,-73.94425,40.79502
624,-73.947478,40.7906
625,-73.95107,40.785672
626,-73.955589,40.779492
627,-73.959874,40.77362
628,-73.96387,40.768141
629-R11,-73.967967,40.762526
630-F11,-73.97192,40.757107
631-723-901,-73.976848,40.751776
632,-73.982076,40.746081
633,-73.984264,40.74307
634,-73.986599,40.739864
635-L03-R20,-73.989951,40.734673
636,-73.99107,40.730054
637-D21,-73.994659,40.725915
638,-73.997141,40.722301
639-M20-Q01-R23,-74.000193,40.718803
640-M21,-74.004131,40.713065
701,-73.83003,40.7596
702,-73.84564,40.754618
705,-73.855335,40.75173
706,-73.8627,40.749865
707,-73.869527,40.749145
708,-73.876613,40.748408
709,-73.883697,40.747659
710-G14,-73.891394,40.746848
711,-73.896403,40.746325
712,-73.902984,40.74563
713,-73.912549,40.744149
714,-73.918435,40.743132
715,-73.924016,40.743781
716,-73.930997,40.744587
718-R09,-73.940202,40.750582
719-F09-G22,-73.945264,40.747023
720,-73.948916,40.742216
721,-73.953581,40.742626
724-D16,-73.981963,40.753821
726,-74.00191,40.755882
A02,-73.919899,40.868072
A03,-73.927271,40.865491
A05,-73.93418,40.859022
A06,-73.937969,40.851695
A07,-73.939704,40.847391
A10,-73.939892,40.836013
A11,-73.941514,40.830518
A12-D13,-73.944216,40.824783
A14,-73.947649,40.817894
A15,-73.952343,40.811109
A16,-73.954882,40.805085
A17,-73.958159,40.800605
A18,-73.961454,40.796092
A19,-73.964694,40.791644
A20,-73.968916,40.785868
A21,-73.972143,40.781433
A22,-73.97641,40.775594
A25,-73.985984,40.762456
A28,-73.993391,40.752287
A30,-73.998041,40.745906
A31,-74.00169,40.740893
A32-D20,-74.000495,40.732338
A33,-74.003739,40.726227
A34,-74.005229,40.720824
A36,-74.008585,40.714111
A40,-73.990531,40.699337
A41,-73.987342,40.692338
A42,-73.985001,40.688484
A43,-73.973946,40.686113
A44,-73.965838,40.683263
A45-S01,-73.956848,40.68138
A46,-73.950426,40.680438
A47,-73.940859,40.679921
A48,-73.930729,40.679364
A49,-73.920786,40.678822
A50,-73.911946,40.67834
A51-J27-L22,-73.905316,40.678334
A52,-73.896548,40.674542
A53,-73.890358,40.67271
A54,-73.88075,40.67413
A55,-73.872106,40.675377
A57,-73.86505,40.677044
A59,-73.858992,40.679371
A60,-73.85147,40.679843
A61,-73.843853,40.680429
A63,-73.837683,40.681711
A64,-73.832163,40.684331
A65,-73.825798,40.685951
B04,-73.942836,40.754203
B06,-73.95326,40.759145
B08,-73.966115,40.76463
B10,-73.977451,40.763971
B12,-73.994324,40.646292
B13,-73.994304,40.640914
B14,-73.994791,40.63626
B15,-73.995476,40.631435
B16-N04,-73.996895,40.626472
B17,-73.998864,40.619589
B18,-74.00061,40.613501
B19,-74.001736,40.607954
B20,-73.998168,40.604556
B21,-73.993728,40.601875
B22,-73.986829,40.597704
B23,-73.983765,40.588841
D01,-73.878855,40.874811
D03,-73.887138,40.873244
D04,-73.893509,40.866978
D05,-73.897749,40.861296
D06,-73.900741,40.856093
D07,-73.905227,40.85041
D08,-73.910136,40.8459
D09,-73.9134,40.839306
D10,-73.918438,40.833773
D12,-73.938209,40.830135
D14,-73.981637,40.762862
D15,-73.981329,40.758663
D17-R17,-73.987823,40.749719
D18,-73.992821,40.742878
D19-L02,-73.996209,40.738228
D22,-73.993753,40.718267
D25,-73.972367,40.67705
D26,-73.962246,40.661614
D27,-73.961495,40.655292
D28,-73.962982,40.650527
D29,-73.964492,40.644031
D30,-73.963891,40.640927
D31,-73.962793,40.635082
D32,-73.961639,40.62927
D33,-73.960803,40.625039
D34,-73.959399,40.617618
D35,-73.957734,40.60867
D37,-73.955929,40.5993
D38,-73.955161,40.595246
D39,-73.954155,40.586896
D40,-73.961376,40.577621
D41,-73.96849,40.576312
D42,-73.975936,40.576128
D43,-73.981232,40.577419
E01,-74.009781,40.712582
F01,-73.783817,40.712646
F02,-73.793604,40.71047
F03,-73.803326,40.707564
F04,-73.810708,40.70546
F05,-73.820574,40.709179
F06,-73.831008,40.714441
F07,-73.837324,40.718331
F12,-73.975224,40.760167
F14,-73.989938,40.723402
F15-M18,-73.988114,40.718611
F16,-73.990173,40.713715
F18,-73.986885,40.699743
F20,-73.990862,40.686145
F21,-73.995048,40.680303
F22,-73.995959,40.67358
F23-R33,-73.989779,40.670272
F24,-73.980305,40.666271
F25,-73.979493,40.660365
F26,-73.975776,40.650782
F27,-73.979678,40.644041
F29,-73.978172,40.636119
F30,-73.976971,40.629755
F31,-73.976127,40.625322
F32,-73.975264,40.620769
F33,-73.974197,40.61514
F34,-73.973022,40.608944
F35,-73.972361,40.603217
F36,-73.973357,40.596063
F38,-73.97425,40.58962
F39,-73.974574,40.581014
G05,-73.801109,40.702147
G06,-73.807969,40.700486
G07,-73.816859,40.702566
G08,-73.844521,40.721691
G09,-73.852719,40.726523
G10,-73.861604,40.729846
G11,-73.869229,40.733106
G12,-73.877223,40.737015
G13,-73.882017,40.742454
G15,-73.898453,40.749669
G16,-73.906006,40.752885
G18,-73.913333,40.756312
G19,-73.92074,40.756879
G20,-73.928781,40.752039
G21,-73.937243,40.748973
G24,-73.949724,40.744065
G26,-73.954449,40.731352
G28,-73.951277,40.724635
G29-L10,-73.951418,40.712792
G30,-73.950308,40.706092
G31,-73.950234,40.700377
G32,-73.949046,40.694568
G33,-73.953522,40.689627
G34,-73.96007,40.688873
G35,-73.966839,40.688089
G36,-73.975375,40.687119
H02,-73.834058,40.668234
H03,-73.830301,40.660476
H04,-73.815925,40.608382
H06,-73.796924,40.590927
H07,-73.788522,40.592374
H08,-73.776013,40.592943
H09,-73.768175,40.595398
H10,-73.761353,40.600066
H11,-73.755405,40.603995
H12,-73.813641,40.588034
H13,-73.820558,40.585307
H14,-73.827559,40.583209
H15,-73.835592,40.580903
J12,-73.828294,40.700492
J13,-73.836345,40.697418
J14,-73.84433,40.695178
J15,-73.851576,40.693879
J16,-73.86001,40.692435
J17,-73.867139,40.691324
J19,-73.87255,40.689941
J20,-73.873785,40.683194
J21,-73.880039,40.68141
J22,-73.884639,40.679947
J23,-73.891688,40.678024
J24,-73.898654,40.676992
J28,-73.910456,40.682893
J29,-73.916559,40.68637
J30,-73.92227,40.68963
J31,-73.928814,40.693342
L01,-74.002578,40.739777
L05,-73.986122,40.732849
L06,-73.981628,40.730953
L08,-73.956872,40.717304
L11,-73.944053,40.714565
L12,-73.94067,40.711926
L13,-73.93985,40.707739
L14,-73.933147,40.706152
L15,-73.922913,40.706607
L16,-73.918425,40.703811
L17-M08,-73.911586,40.699814
L19,-73.904084,40.695602
L20,-73.904046,40.688764
L21,-73.905249,40.682829
L24,-73.903097,40.675345
L25,-73.901975,40.669367
L26,-73.900571,40.664038
L27,-73.899232,40.658733
L28,-73.899485,40.650573
L29,-73.90185,40.646654
M01,-73.889601,40.711396
M04,-73.895877,40.706186
M05,-73.903077,40.704423
M06,-73.90774,40.702762
M09,-73.919711,40.698664
M10,-73.927397,40.697857
M11,-73.935657,40.697207
M12,-73.941126,40.70026
M13,-73.947408,40.703869
M14,-73.953431,40.70687
M16,-73.957757,40.708359
M19,-73.993915,40.72028
M23,-74.011056,40.706476
N02,-74.011719,40.635064
N03,-74.005351,40.631386
N05,-73.990414,40.620671
N06,-73.985026,40.61741
N07,-73.981848,40.611815
N08,-73.980353,40.603923
N09,-73.979137,40.597473
N10,-73.97823,40.592721
R01,-73.912034,40.775036
R03,-73.917843,40.770258
R04,-73.921479,40.766779
R05,-73.925508,40.76182
R06,-73.929575,40.756804
R08,-73.932755,40.752882
R13,-73.973347,40.764811
R14,-73.980658,40.764664
R15,-73.984139,40.759901
R18,-73.988691,40.745494
R19,-73.989344,40.741303
R21,-73.992629,40.730328
R22,-73.997702,40.724329
R24,-74.006978,40.713282
R25,-74.012188,40.711835
R26,-74.013342,40.70722
R27,-74.012994,40.703087
R29,-73.985942,40.69218
R30,-73.981824,40.690635
R32,-73.98311,40.677316
R34,-73.992872,40.665414
R35,-73.998091,40.660397
R36,-74.003549,40.655144
R39,-74.010006,40.648939
R40,-74.014034,40.645069
R41,-74.017881,40.641362
R42,-74.023377,40.634967
R43,-74.02551,40.629742
R44,-74.028398,40.622687
R45,-74.030876,40.616622
S03,-73.957624,40.674772
S04,-73.959245,40.670343
,,
